game_id,game,config,time_budget_s,max_nodes,max_entries,agent_first,agent_second,winner,plies,end_reason,seed,workers
isolation.easy.random-heuristic.t0,isolation,easy,0.5,50000,200000,random,heuristic,second,14,no_moves,887503256838377090,1
isolation.easy.heuristic-random.t0,isolation,easy,0.5,50000,200000,heuristic,random,second,18,no_moves,4515998232983068216,1
isolation.easy.random-alpha_beta.t0,isolation,easy,0.5,50000,200000,random,alpha_beta,second,8,no_moves,10063524669452763922,1
isolation.easy.alpha_beta-random.t0,isolation,easy,0.5,50000,200000,alpha_beta,random,first,13,no_moves,14786829207847678580,1
isolation.easy.random-mcts.t0,isolation,easy,0.5,50000,200000,random,mcts,second,14,no_moves,12816850125671620322,1
isolation.easy.mcts-random.t0,isolation,easy,0.5,50000,200000,mcts,random,first,19,no_moves,7843748000260049964,1
isolation.easy.heuristic-alpha_beta.t0,isolation,easy,0.5,50000,200000,heuristic,alpha_beta,second,16,no_moves,5785695393174913633,1
isolation.easy.alpha_beta-heuristic.t0,isolation,easy,0.5,50000,200000,alpha_beta,heuristic,first,9,no_moves,1204075532470290856,1
isolation.easy.heuristic-mcts.t0,isolation,easy,0.5,50000,200000,heuristic,mcts,second,18,no_moves,3032765716458069886,1
isolation.easy.mcts-heuristic.t0,isolation,easy,0.5,50000,200000,mcts,heuristic,first,19,no_moves,10821931144957757819,1
isolation.easy.alpha_beta-mcts.t0,isolation,easy,0.5,50000,200000,alpha_beta,mcts,first,11,no_moves,7979118997385115649,1
isolation.easy.mcts-alpha_beta.t0,isolation,easy,0.5,50000,200000,mcts,alpha_beta,second,22,no_moves,10860156594821996876,1
isolation.main.random-heuristic.t0,isolation,main,0.1,50000,200000,random,heuristic,second,16,no_moves,14461444234364350748,1
isolation.main.heuristic-random.t0,isolation,main,0.1,50000,200000,heuristic,random,first,11,no_moves,13062898108060106884,1
isolation.main.random-alpha_beta.t0,isolation,main,0.1,50000,200000,random,alpha_beta,second,8,no_moves,8752005661725265336,1
isolation.main.alpha_beta-random.t0,isolation,main,0.1,50000,200000,alpha_beta,random,first,13,no_moves,9741171081198768359,1
isolation.main.random-mcts.t0,isolation,main,0.1,50000,200000,random,mcts,second,10,no_moves,15308987732030782832,1
isolation.main.mcts-random.t0,isolation,main,0.1,50000,200000,mcts,random,first,11,no_moves,230739422324082246,1
isolation.main.heuristic-alpha_beta.t0,isolation,main,0.1,50000,200000,heuristic,alpha_beta,second,16,no_moves,1853122252196816831,1
isolation.main.alpha_beta-heuristic.t0,isolation,main,0.1,50000,200000,alpha_beta,heuristic,first,9,no_moves,1250620788446511770,1
isolation.main.heuristic-mcts.t0,isolation,main,0.1,50000,200000,heuristic,mcts,second,14,no_moves,17077465552041754029,1
isolation.main.mcts-heuristic.t0,isolation,main,0.1,50000,200000,mcts,heuristic,first,17,no_moves,16424077576124251997,1
isolation.main.alpha_beta-mcts.t0,isolation,main,0.1,50000,200000,alpha_beta,mcts,first,13,no_moves,8899646410879703482,1
isolation.main.mcts-alpha_beta.t0,isolation,main,0.1,50000,200000,mcts,alpha_beta,first,19,no_moves,3057035977132139787,1
isolation.hard.random-heuristic.t0,isolation,hard,0.02,50000,200000,random,heuristic,second,18,no_moves,6948609518748321099,1
isolation.hard.heuristic-random.t0,isolation,hard,0.02,50000,200000,heuristic,random,second,16,no_moves,18259725490858059453,1
isolation.hard.random-alpha_beta.t0,isolation,hard,0.02,50000,200000,random,alpha_beta,second,22,no_moves,15482293052987139319,1
isolation.hard.alpha_beta-random.t0,isolation,hard,0.02,50000,200000,alpha_beta,random,first,11,no_moves,9895628097911526214,1
isolation.hard.random-mcts.t0,isolation,hard,0.02,50000,200000,random,mcts,second,12,no_moves,2641686728136549484,1
isolation.hard.mcts-random.t0,isolation,hard,0.02,50000,200000,mcts,random,first,11,no_moves,8195762287258792003,1
isolation.hard.heuristic-alpha_beta.t0,isolation,hard,0.02,50000,200000,heuristic,alpha_beta,second,18,no_moves,9902440153600594139,1
isolation.hard.alpha_beta-heuristic.t0,isolation,hard,0.02,50000,200000,alpha_beta,heuristic,first,9,no_moves,3158556592816889532,1
isolation.hard.heuristic-mcts.t0,isolation,hard,0.02,50000,200000,heuristic,mcts,second,20,no_moves,13215105025368230189,1
isolation.hard.mcts-heuristic.t0,isolation,hard,0.02,50000,200000,mcts,heuristic,first,13,no_moves,13607648438598752685,1
isolation.hard.alpha_beta-mcts.t0,isolation,hard,0.02,50000,200000,alpha_beta,mcts,first,9,no_moves,17274235786610268977,1
isolation.hard.mcts-alpha_beta.t0,isolation,hard,0.02,50000,200000,mcts,alpha_beta,second,16,no_moves,906274823925513830,1
uttt.easy.random-heuristic.t0,uttt,easy,2.0,50000,200000,random,heuristic,second,40,line,9340332547604453148,1
uttt.easy.heuristic-random.t0,uttt,easy,2.0,50000,200000,heuristic,random,first,35,line,13542326752264003509,1
uttt.easy.random-alpha_beta.t0,uttt,easy,2.0,50000,200000,random,alpha_beta,second,40,line,13962163721665632364,1
uttt.easy.alpha_beta-random.t0,uttt,easy,2.0,50000,200000,alpha_beta,random,first,39,line,9752770256536331009,1
